feature,importance
BUN_std,0.17083619423724422
BUN_last,0.11993168119460837
BUN_first,0.09638053178821085
Phosphate_last,0.08236725496137291
cr_count,0.0673230094692813
cr_first,0.035748210215938804
Potassium_max,0.015226102489073003
bun_cr_ratio,0.014381433503327243
BUN_max,0.013636409887046499
SaO2_min,0.009929434675977757
Potassium_last,0.009583570303208264
icu_los,0.008965784361817148
Potassium_std,0.008610579679030462
Glucose_min,0.008386160414598328
BUN_min,0.007693540733276092
Potassium_mean,0.007633019923121819
Potassium_first,0.00631430794444963
Chloride_first,0.005867853359143813
DBP_mean,0.005751177122973132
BUN_mean,0.005691859167919266
Phosphate_mean,0.005645730667798534
SaO2_first,0.005541896016835845
Phosphate_first,0.005406470487886477
Temp_std,0.005385488236691787
Temp_mean,0.005304166482686999
Magnesium_std,0.005190039210727462
DBP_min,0.005168164432963902
Chloride_std,0.005157782611626562
HospAdmTime,0.0050231539727522085
Calcium_std,0.00463629537443619
Hgb_std,0.004404301153338363
Phosphate_std,0.0043461586823148575
SBP_min,0.00431555908686057
SaO2_std,0.004182288932404586
SBP_std,0.00413820091982919
SBP_mean,0.003840296035317626
FiO2_max,0.0038187363590590343
O2Sat_std,0.0037775953399619804
Platelets_std,0.0036220700785920424
Glucose_std,0.0035544518154655737
MAP_std,0.0034662506869516567
Platelets_first,0.0034465897445800117
WBC_std,0.0033885546003904195
BaseExcess_mean,0.003332338488352419
pulse_pressure,0.0032827793476721593
Glucose_first,0.0032723581269525617
WBC_last,0.0032511697466429956
Hct_std,0.003117651048876425
PTT_first,0.003031229262517666
FiO2_mean,0.003019341726232171
shock_index,0.002963005580568101
FiO2_std,0.002925413361689436
MAP_min,0.0027927954612050588
Temp_max,0.0027878309670274493
Platelets_min,0.002748797584202209
WBC_max,0.002589336141052316
Phosphate_max,0.0025617376409233046
MAP_mean,0.0025518487655117
pH_last,0.0025125108054402916
pH_mean,0.0025120861369483743
PaCO2_first,0.0025027001849510402
BaseExcess_min,0.0024202746034247577
Resp_std,0.002415015564529274
O2Sat_mean,0.002386902792944262
Resp_mean,0.0023730305870463173
Magnesium_last,0.00231771554525086
Age,0.002261123014017337
Phosphate_min,0.0022514535578063303
FiO2_first,0.0021859957951906608
PaCO2_std,0.0021774642570063
Magnesium_mean,0.0021730433518704667
PTT_std,0.002160838850112992
AST_std,0.0021570368612693243
Chloride_mean,0.0021273059181661767
Temp_min,0.0021131865143779443
Glucose_mean,0.002067407524808097
Platelets_last,0.0020116658379402868
Glucose_last,0.0019778206408599007
Calcium_mean,0.0019432535468152
PaCO2_last,0.001913246385980595
Lactate_std,0.0018877388981129596
WBC_first,0.0018789112691044133
Calcium_min,0.0018783232000766236
